,Job_Sector,Job_Title,Salary
0,Accounting,Accountant,"£30,200"
1,Accounting,Accounting Manager,"£32,800"
2,Accounting,Accounting Technician,"£21,200"
3,Accounting,Accounts Administrator,"£20,700"
4,Accounting,Accounts Assistant,"£22,100"
5,Accounting,Assistant Accountant,"£26,200"
6,Accounting,Bank Accountant,"£36,200"
7,Accounting,Bookkeeper,"£27,380"
8,Accounting,Chartered Accountant,"£35,600"
9,Accounting,Financial Accountant,"£36,400"
10,Accounting,Forensic Accountant,"£36,720"
11,Accounting,Fund Accountant,"£43,400"
12,Accounting,Management Accountant,"£38,500"
13,Accounting,Project Accountant,"£33,400"
14,Accounting,Tax Accountant,"£28,600"
15,Administration,Assistant Project Manager,"£32,200"
16,Administration,Associate Director,"£80,140"
17,Administration,Business Analyst,"£43,500"
18,Administration,Business Operations Manager,"£50,230"
19,Administration,Dental Receptionist,"£20,000"
20,Administration,Digital Project Manager,"£48,600"
21,Administration,Executive Assistant,"£38,230"
22,Administration,Facilities Coordinator,"£27,100"
23,Administration,Facilities Director,"£53,200"
24,Administration,Facilities Manager,"£35,200"
25,Administration,IT Business Analyst,"£46,100"
26,Administration,Lead Business Analyst,"£56,800"
27,Administration,Managing Director,"£86,430"
28,Administration,Medical Receptionist,"£22,000"
29,Administration,Medical Secretary,"£22,500"
30,Administration,Office Manager,"£33,690"
31,Administration,Operations Director,"£65,200"
32,Administration,Operations Manager,"£45,300"
33,Administration,Project Coordinator,"£30,760"
34,Administration,Project Manager,"£57,500"
35,Administration,Receptionist,"£17,400"
36,Administration,Regional Operations Manager,"£53,700"
37,Administration,School Secretary,"£17,500"
38,Administration,Secretary,"£22,000"
39,Administration,Technical Business Analyst,"£39,700"
40,Administration,Veterinary Receptionist,"£21,000"
41,Agriculture,Agronomist,"£37,200"
42,Agriculture,Garden Designer,"£32,600"
43,Agriculture,Landscape Gardener,"£23,100"
44,Agriculture,Tree Surgeon,"£24,210"
45,Arts,Fashion Buyer,"£35,820"
46,Arts,Fashion Stylist,"£26,350"
47,Arts,Graphic Designer,"£28,900"
48,Arts,Hair Stylist,"£25,810"
49,Arts,Makeup Artist,"£30,840"
50,Arts,Sound Designer,"£28,760"
51,Arts,Sound Engineer,"£27,210"
52,Construction,Bricklayer,"£31,800"
53,Construction,Builder,"£31,200"
54,Construction,Building Surveyor,"£37,210"
55,Construction,Construction Engineer,"£44,500"
56,Construction,Construction Manager,"£50,200"
57,Construction,Construction Project Manager,"£53,600"
58,Construction,Construction Worker,"£28,300"
59,Construction,Crane Operator,"£35,700"
60,Construction,Lift Engineer,"£33,300"
61,Construction,Sheet Metal Worker,"£26,200"
62,Construction,Site Manager,"£47,300"
63,Construction,Structural Engineer,"£45,000"
64,Construction,TIG Welder,"£29,270"
65,Customer Service,Customer Experience Manager,"£29,650"
66,Customer Service,Customer Relationship Manager,"£33,680"
67,Customer Service,Customer Service Advisor,"£19,720"
68,Customer Service,Customer Service Manager,"£30,740"
69,Customer Service,Customer Success Manager,"£40,820"
70,Design & Architecture,Architect,"£37,500"
71,Design & Architecture,Architectural Technician,"£29,800"
72,Design & Architecture,Architectural Technologist,"£33,200"
